full_name,id,position,photo_url
Taj Gibson,9c8dc8ee-6207-48d5-81ee-f362f5e17f9b,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/9c8dc8ee-6207-48d5-81ee-f362f5e17f9b/300x300-crop.png
Josh Giddey,66ea876a-1cc9-47ed-ae31-2ed3c8f9350e,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/66ea876a-1cc9-47ed-ae31-2ed3c8f9350e/300x300-crop.png
Harry Giles III,70ba6b2e-e7c5-4df5-a88a-cd755e43ba97,F-C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/70ba6b2e-e7c5-4df5-a88a-cd755e43ba97/300x300-crop.png
Shai Gilgeous-Alexander,d9ea4a8f-ff51-408d-b518-980efc2a35a1,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/d9ea4a8f-ff51-408d-b518-980efc2a35a1/300x300-crop.png
Anthony Gill,7aa10d1a-ed4e-417d-998d-84ce66c77c9b,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/7aa10d1a-ed4e-417d-998d-84ce66c77c9b/300x300-crop.png
Collin Gillespie,60b8026e-e154-4ed7-a247-8e4af1dbf668,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/60b8026e-e154-4ed7-a247-8e4af1dbf668/300x300-crop.png
Freddie Gillespie,e433e865-deb1-4736-b0da-a7f50e7a67ff,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/e433e865-deb1-4736-b0da-a7f50e7a67ff/300x300-crop.png
Jacob Gilyard,49aaa5a4-1bb3-4651-9249-b1c7ca0c09e2,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/49aaa5a4-1bb3-4651-9249-b1c7ca0c09e2/300x300-crop.png
Rudy Gobert,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/37fbc3a5-0d10-4e22-803b-baa2ea0cdb12/300x300-crop.png
Jordan Goodwin,0b9bab33-66c3-4e01-b91e-df6b8c40ea2b,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/0b9bab33-66c3-4e01-b91e-df6b8c40ea2b/300x300-crop.png
Dane Goodwin,24059ab8-3407-4d10-8fe2-e1142dfb7381,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/24059ab8-3407-4d10-8fe2-e1142dfb7381/300x300-crop.png
Brandon Goodwin,ab6f22fc-0ad6-4323-a5fe-343e6f05e7e0,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/ab6f22fc-0ad6-4323-a5fe-343e6f05e7e0/300x300-crop.png
Aaron Gordon,20f85838-0bd5-4c1f-ab85-a308bafaf5bc,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/20f85838-0bd5-4c1f-ab85-a308bafaf5bc/300x300-crop.png
Eric Gordon,f8d6c74c-e0bd-41ed-a814-f0b25259fe0a,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/f8d6c74c-e0bd-41ed-a814-f0b25259fe0a/300x300-crop.png
Jazian Gortman,f84e8c8e-4aeb-463d-b804-0cbbd74300e6,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/f84e8c8e-4aeb-463d-b804-0cbbd74300e6/300x300-crop.png
Kellan Grady,167bcbb7-7afb-4b66-95de-dc0b5c62a9bd,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/167bcbb7-7afb-4b66-95de-dc0b5c62a9bd/300x300-crop.png
Devonte' Graham,604571ce-5be8-4938-b8fb-945ff8d15f8d,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/604571ce-5be8-4938-b8fb-945ff8d15f8d/300x300-crop.png
Treveon Graham,3f170fb8-2633-481f-bc63-0bce20b37557,G-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/3f170fb8-2633-481f-bc63-0bce20b37557/300x300-crop.png
Jerami Grant,5b315e15-6633-4ce2-8200-71b821553314,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/5b315e15-6633-4ce2-8200-71b821553314/300x300-crop.png
Hassani Gravett,4e97b9e2-9772-49c1-b636-5ba159b6c9f7,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/4e97b9e2-9772-49c1-b636-5ba159b6c9f7/300x300-crop.png
RaiQuan Gray,6b2a569f-b0ae-4bdf-b7c8-eef466421d9a,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/6b2a569f-b0ae-4bdf-b7c8-eef466421d9a/300x300-crop.png
AJ Green,616c60bf-f7ce-482d-a9c8-10c6c7fbef97,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/616c60bf-f7ce-482d-a9c8-10c6c7fbef97/300x300-crop.png
